sample_id,label
1,Sanxiao
2,Sanxiao
3,Sanxiao
4,Sanxiao
5,Sanxiao
6,Sanxiao
7,Sanxiao
8,Sanxiao
9,Sanxiao
10,Sanxiao
11,Sanxiao
12,Sanxiao
13,Sanxiao
14,Sanxiao
15,Sanxiao
16,Sanxiao
17,Sanxiao
18,Sanxiao
19,Sanxiao
20,Sanxiao
21,Colgate
22,Colgate
23,Colgate
24,Colgate
25,Colgate
26,Colgate
27,Colgate
28,Colgate
29,Colgate
30,Colgate
31,Colgate
32,Colgate
33,Colgate
34,Colgate
35,Colgate
36,Colgate
37,Colgate
38,Colgate
39,Colgate
40,Colgate
41,Colgate
42,YIBAO
43,YIBAO
44,YIBAO
45,YIBAO
46,YIBAO
47,YIBAO
48,YIBAO
49,Yangchen
50,Yangchen
51,Yangchen
52,Yangchen
53,Yangchen
54,Yangchen
55,Yangchen
56,MUJI
57,MUJI
58,MUJI
59,MUJI
60,MUJI
61,MUJI
62,MUJI
63,MUJI
64,MUJI
65,MUJI
66,MUJI
67,MUJI
68,MUJI
69,MUJI
70,MUJI
71,MUJI
72,MUJI
73,MUJI
74,MUJI
75,MUJI
76,Saky
77,Saky
78,Saky
79,Saky
80,Saky
81,Saky
82,SUHC
83,SUHC
84,SUHC
85,SUHC
86,SUHC
87,LESENING
88,LESENING
89,LESENING
90,LESENING
91,LESENING
92,LESENING
93,LESENING
94,LESENING
95,LESENING
96,LESENING
97,LESENING
98,LESENING
99,LESENING
100,LESENING
101,LESENING
102,LESENING
103,LESENING
104,LESENING
105,LESENING
106,DARLIE
107,DARLIE
108,DARLIE
109,DARLIE
110,DARLIE
